Voltage	Current	Scan No.
V	A	Scan
-0.55419921875	-8.453369140625E-6	1
-0.556640625	-8.2366943359375E-6	1
-0.55908203125	-8.1512451171875E-6	1
-0.5615234375	-8.5693359375E-6	1
-0.56396484375	-8.5906982421875E-6	1
-0.56640625	-8.7860107421875E-6	1
-0.56884765625	-8.7982177734375E-6	1
-0.5712890625	-8.82568359375E-6	1
-0.57373046875	-8.8653564453125E-6	1
-0.576171875	-8.7554931640625E-6	1
-0.57861328125	-8.3953857421875E-6	1
-0.5810546875	-8.7310791015625E-6	1
-0.58349609375	-8.92333984375E-6	1
-0.5859375	-8.5968017578125E-6	1
-0.58837890625	-8.9324951171875E-6	1
-0.5908203125	-8.8714599609375E-6	1
-0.59326171875	-8.97216796875E-6	1
-0.595703125	-9.1461181640625E-6	1
-0.59814453125	-9.2559814453125E-6	1
-0.6005859375	-9.2926025390625E-6	1
-0.60302734375	-9.6038818359375E-6	1
-0.60546875	-9.5916748046875E-6	1
-0.60791015625	-9.3353271484375E-6	1
-0.6103515625	-9.2803955078125E-6	1
-0.61279296875	-9.515380859375E-6	1
-0.615234375	-9.2926025390625E-6	1
-0.61767578125	-9.16748046875E-6	1
-0.6201171875	-9.3475341796875E-6	1
